STG,Stepney Green
STK,Stockwell
SPK,Stonebridge Park
SFD,Stratford
SHS,Stratford High Street
SFI,Stratford International
SHL,Sudbury Hill
STN,Sudbury Town
SYQ,Surrey Quays
SWC,Swiss Cottage
SDH,Sydenham
TEM,Temple
THB,Theydon Bois
TBE,Tooting Bec
TBY,Tooting Broadway
TCR,Tottenham Court Road
TTH,Tottenham Hale
TOT,Totteridge & Whetstone
TWG,Tower Gateway
THL,Tower Hill
TPK,Tufnell Park
TGR,Turnham Green
TPL,Turnpike Lane
UPM,Upminster
UPB,Upminster Bridge
UPY,Upney
URH,Upper Holloway
UPK,Upton Park
UXB,Uxbridge
VUX,Vauxhall
VIC,Victoria
WAL,Walthamstow Central
WQR,Walthamstow Queens Road
WWR,Wandsworth Road
WAN,Wanstead
WTP,Wanstead Park
WPG,Wapping
WST,Warren Street
WAR,Warwick Avenue
WLO,Waterloo
WAT,Watford
WHS,Watford High Street
WFJ,Watford Junction
WEM,Wembley Central
WPK,Wembley Park
WAC,West Acton
WBT,West Brompton
WSC,West Croydon
WFY,West Finchley
WHM,West Ham
WHD,West Hampstead
WHR,West Harrow
WIQ,West India Quay
WKN,West Kensington
WRP,West Ruislip
WTS,West Silverton
WBP,Westbourne Park
WFR,Westferry
WMS,Westminster
WCT,White City
WCL,Whitechapel
WLG,Willesden Green
WJN,Willesden Junction
WDN,Wimbledon
WMP,Wimbledon Park
WGN,Wood Green
WDL,Wood Lane
WFD,Woodford
WSP,Woodside Park
WWA,Woolwich Arsenal
